English,Tagalog
(plural),mga
a,isa
a bit,kaunti
a heap,tambak
a little,kaunti
a staff,tungkod
about,mga
above,itaas
abridged,na-igsian
abrogates,magpapawalang-bisa
abstinence,ngilin
abstinence,pangingilin
abvisor,kasangguni
accede,sumang-ayon
accompany,sumama
accomplish,gawin
accuracy,katumpakin
ache,sakit
acquiesces,sumang-ayon
act of choking,bulon
acute,matindi
address,direksiyon
admonishing,pinagbabalaan
advantage,kalamganan
advantage,lamang
affability,pagkamagalang
affectation,pagkukunwari
affix,magdikit
afraid,takot
after,pagkatapos
afternoon,hapon
afterward,pagkatapos
again,muli
against,laban
age,edad
aggrieving,nang-aapi
agree,pumayag
air,hangin
airplane,eroplano
airy,mahangin
alike,magkatulad
alike,pareho
all,lahat
"all, every",bawa
allow,payagan
allright,sige
almost,halos
alone,nagiisa
already,na
also,din
also,man
also,rin
also,rin
always,lagi
and,at
and sinker,bingwit
and then,saka
anger,ihit
angry,galit
animal,hayop
annex,magdugtong
annex,tangkil
annoyance,tarka
another,iba
another time,saka na
answer,sagot
ant,langgam
anulled,nulo
appearance,anyo
ark,daong
arms,armas
arrest,dakipin
arrival,dating
arrow,palaso
artist,pintor
as a greeting,ano
as broad as,singlapad
ascend,tumaas
asleep,tulog
assuring,paniniyak
at least,kahit
attended,dumalo
attraction,halina
auditorium,awditoryum
augmentation,idinadagdag
automobile,kotse
avert,umiwas
aviator,abyador
"baby, infant",sanggol
bacon,tusino
bad smell,mabaho
bad-omened,buwisit
"bail, bond",lagak
balanced,saldado
bald,kalbo
balustrade,palababahan
bandaged,binendahan
bandmaster,banmaster
barber,barbero
bark of a dog,tahol
basement,silong
basket,basket
basketball,mag-basketbol
be born,lumuwal
bear,oso
beautiful,dyagan
became,naging
because,kasi
become,maging
becoming,magiging
beforehand,antimano
behooved,nangailangan
beleaguer,kumubkob
benediction,magbindisyon
beneficiary,nakikinabang
"bent, turned",liko
bestial,napakahayop
better,mas mabuti
between,pagitan
beyond,lampas
bib.,babero
bicycle,bisikleta
bier,ataol
big,malaki
bird,ibon
bite,kumagat
bite,kagat
bitter,mapait
black,maitim
blackboard,pisara
blank,blangka
blanket,kumot
blessing,bendisiyon
blind,bulag
blindfold,piring
blister,lintos
blockhead,tumag
blood,dugo
blossoming,bumubukaka
blouse,blusa
blowpipe,hihip
blue,bughaw
"blunt, dull",mapurol
"board, council",hunta
boat,bangka
body,katawan
boiled,nilaga
boiled egg,nilagang
bone,buto
boot,bota
boring,nakaiinip
boss,hepe
bossy,palautos
both,kapwa
bottle,bote
bouy,lutang
bowl,mangkok
boy,batang lalaki
brainy,mautak
branch,sanga
brave,matapang
bread,tinapay
bread roll,pan de sal
breadfruit,rimas
break,pagkatigil
breast,suso
breast,dibdib
bribe,lagay
bribed,nabaril ng asi
bride,nobya
brief,maikli
brighten,lumiwanag
brightened,nagpaliwanag
brilliant,ningning
bring,dalhin
"brittle, crisp",malutong
broach,pambutas
broken,sira
brook,sapa
brother,kapatid na lalaki
brother-in-law,bayaw
brown,kayumanggi
brown-skinned,morena
brushing,naghuhugas
bucket,timba
"bucket, pail",timba
buddy,chokaran
bulk,laki
bullfighter,toreador
"bundle, pack",balutan
burrow,lungga
business,negosyo
but,ngunit
but,pero
butt,buldet
butter,bater
butterfly,paruparo
button,butones
by,ni
by,nina
by,sa
cabbage,repolyo
cake,kek
canvassed,nanguha
car,awto
carrier,tagadala
caterpillar,higad
certainly,nga
chafe,magkuskus
chafed,kinuskus
chalkboard,pisara
chance,pagkakataon
changes,palitan
"charm, spell",engkanto
charter,paupahan
cheap,mura
checked,nasuri
checkers,dama
chemise,kamison
CHENG,bading
chili pepper,sili
chord,bagting
chucks,tumapik
cigarettes,upos
circular,bolante
circumcision,tuli
city,lungsod
city road,kalye
clam,halaan
clamor,lingaw
cleansing,naglilinis
clerk,eskribano
"click, snap",lagutok
clinging,sampid
closeness,untik
closing,sasarahan
clot,mamuo
cloth,tela
clotheline,sampayan
clothes chest,baul
cloud,ulap
clouding,umuulap
clutter,magkalat
coagulating,namumuo
coarse,haliparot
coarse,harot
cob,busal
coccyx,puil
coined,likha
cold,lamig
cold,malamig
cold (sick),sipon
color,kulay
comb,suklay
come here,hali ka
comfortable,maginhawa
command,direksiyon
commonplace,karaniwan
communing,nananalangin
compact,siksik
compliment,papuri
concave,hungkag
concern,balisa
conclusion,palagay
concubine,kalaguyo
conductor,konduktor
conform,umalinsunod
congesting,nagsisikip
connived,nakipagsabwatan
conniving,nakikipagsabwatan
consigning,nagpapatinda
context,nilalaman
contributor,nag-abuloy
converts,palitan
cook,kusinero
cook,maglaga
cooked,luto
cooked rice,kanin
cookies,biskwit
cooking oil,langis
cool,mlamig
cop,pulis
copied,nakopya
copious,masagana
copy,sipi
copying,nangongopya
coral,gasang
"cord, twine",pugong
corn,mais
corner,kanto
cost,gastos
country,bansa
country,lupa
courage,lakis-loob
courthouse,bahay-hukuman
courtship,ligaw
cousin,pinsan
"crazy, insane",ulol
cream,gata
creased,lukot
create,lumikha
creative,mapanglikha
creativeness,paglilikha
creator,lumikha
creek,sapa
cringe,sumukot
cringed,sumukot
crippled,baldado
crippled,mapinsala
crocodile,buwaya
crooked,manloloko
cross-eyed,duling
crowbar,landok
crunch,ngumalot
cucumber,pipino
cultivate,patubuhin
cumbersome,nakasasagabal
cup,tasa
curved,bumaluktot
curved blade,salungkawit
custody,pangangalaga
customary,kaugalihan
cut into two,maghati
dabbing,idinadampi
daft,tanga
damage,sira
damn!,buwisit
dance,sayaw
danger,panganib
dangerous,mapanganib
dark,madilim
dark skinned,itim
darling,mahal
dart,sibad
date,petsa
daunting,tinatakot
dealer,negosyante
dear,mahal
decapitated,pugot
deceiving,nanlilinlang
dedication,mag-alay
deduce,mahulo
deduces,mahulo
deep,malalim
defines,magpaliwanag
deflected,lihis
deflects,magpalihis
delicious,masarap
delivery,entrega
democracy,demokrasya
democratic,demokratiko
dentist,dentista
departure,pag-alis
depreciating,nagpapamura
desist,tumigil
desponded,nahintakutan
